col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
4151,8830,7129,223,5846,77,3584,1708,1600,9860
2149,5292,4405,4320,8513,4858,8171,4341,7419,1808
1577,4550,2002,7723,8951,3825,8433,1656,2839,5455
1313,2749,8172,4790,2531,5879,8420,3916,8283,6373
8022,8711,4806,8265,1384,8809,4365,2096,1454,2790
4360,6497,6886,8766,4063,236,1074,3701,8345,7864
7154,3191,5378,6210,301,4353,107,8934,4576,8036
3565,2290,6356,4734,4144,6,7497,2632,8773,8056
1120,9215,8025,6099,4756,5918,5498,4533,8389,1542
8639,323,9941,2344,4708,3448,8726,3864,3713,7033
5939,1585,1034,4480,5198,3614,344,5153,3906,7789
9,6522,5720,9523,6275,4246,116,5130,5435,7384
1000,7869,4255,2665,2359,3000,1922,3603,425,1534
9912,8976,6558,9482,1694,1421,86,1184,8857,2642
4136,500,1048,6060,7211,5901,4106,1896,1245,1835
8460,7314,6544,2661,7211,6829,1365,6964,5975,8673
3938,6302,6108,1305,4857,7826,3457,1727,2214,6447
6035,6984,6793,7443,9103,8085,1897,588,7631,2553
3282,4450,3990,5026,6087,6267,2707,9443,251,2650
2062,1740,150,8532,7133,8808,1171,3758,7045,301
8151,1150,4024,4025,8487,2473,650,1110,8801,7212
3503,7392,2358,1169,4744,1062,9128,5698,9016,6207
2940,9041,9072,6396,5587,3922,9739,4103,2017,748
4461,6221,9124,7911,4360,6147,164,4815,4393,4551
4775,924,2735,5737,5096,5109,719,2228,3275,8898
8321,7882,872,7682,6253,5008,7663,9187,6233,9653
9736,9517,9567,6794,7268,1396,1664,2466,78,2216
1964,7968,4909,3644,454,9707,1596,4623,465,1595
5261,9629,204,6754,5116,1320,6171,3957,773,8431
7169,929,8112,3185,3667,3454,8721,7551,4362,7040
3327,3721,6629,1868,2492,621,2456,4646,2367,1524
6499,3873,1598,791,4150,347,3747,3260,6078,7922
9947,6201,9827,1362,138,5264,4526,4221,3803,8836
1121,4702,8338,1094,7067,7824,464,7940,7193,8475
1351,6565,3833,5814,3247,5398,8561,2767,4013,9425
6128,9710,8909,5698,6703,8180,6880,6443,5662,6965
254,8729,3161,1062,1323,4749,3178,7557,9429,28
7676,8592,5174,1564,2494,2623,8512,7719,3511,4692
2926,7447,2574,2481,9687,4630,5584,2658,7607,2229
3968,1912,9444,6084,3043,3587,1046,2141,3407,1531
8928,7014,9939,5903,1288,2323,8305,4942,4030,6791
8186,2664,5380,7468,91,9482,7255,4223,3404,6146
5122,3711,8668,4955,2402,2188,8890,7206,3835,3439
4741,8323,1661,1078,2510,7911,8707,265,471,3313
7940,6309,8014,5121,9220,9262,7190,3354,4323,8907
2612,4664,8566,8051,5762,1470,846,1939,1552,585
85,7183,5202,5069,5430,4746,1774,8609,212,1605
6845,2243,6041,2224,6374,7058,556,4704,6583,7488
1420,3350,9235,8895,5588,342,3008,5298,9535,3718
314,920,207,2884,8245,5858,7173,6959,6458,6297
7593,259,2289,178,6072,5006,6905,657,8081,3618
1812,6642,9404,1907,5683,4714,2861,9756,5993,1268
1394,7187,1545,8749,4895,3134,7443,6312,7435,4201
4029,3015,3844,381,6715,608,8053,3509,2232,6420
5637,7983,6706,8995,4559,8750,5730,6110,8192,1815
1623,2732,519,7228,5764,9266,4700,3072,3969,841
8906,8355,2381,6823,825,7585,6696,1466,2405,964
2546,6946,6635,2136,991,2,6652,85,2387,1165
6900,8829,5272,7876,6795,4379,3643,2290,5351,5759
3069,210,3882,4160,7967,1207,9682,4779,3785,6906
970,8171,2489,8808,9864,7230,1619,4193,3223,9379
9367,3720,3614,7921,7485,9008,7329,537,236,1574
7881,6913,1103,5684,1906,2992,2380,1428,6126,8689
9396,3112,7441,4600,699,5919,5533,7343,2585,5849
7187,4091,799,4133,6604,2923,177,4609,7126,4066
7742,5958,7647,2212,2288,9664,8269,6211,6231,3339
4965,189,2546,3720,3640,1080,4138,1304,9237,8908
8217,6289,8675,30,7147,3743,6744,9318,9245,4561
2089,9145,7221,7582,3734,9627,5455,9353,4038,5848
2233,4582,5470,9781,1928,288,5741,4556,2208,4247
5259,1112,7909,5429,3775,6660,5407,7877,1242,6760
2331,8355,3688,8475,7124,438,5970,7880,7759,8675
2349,7693,3042,1017,8859,3417,3422,8337,6570,2417
972,8323,1721,724,7745,8665,3051,5797,6757,6210
7001,6509,55,1190,6165,8821,3550,9367,9108,3722
3855,797,7691,3354,9144,2038,8062,1333,3780,289
528,7665,1130,535,2345,8922,2240,1689,9942,6524
5365,438,1170,1522,1102,5292,5460,6725,5636,4089
6004,599,3,7920,1987,6318,810,3333,2073,102
7518,3154,5490,2965,9354,1354,3620,6417,4496,6625
7711,998,2893,3445,3195,3446,5668,8418,891,6206
7525,5287,218,6052,6097,6390,428,9010,1687,3604
1505,2545,1184,9646,8695,7052,3161,5911,1478,5346
6234,7555,9800,6300,3169,1519,5116,9905,1869,803
1465,3622,3992,6301,8367,266,5312,8970,7868,2603
9282,9075,7735,8442,5437,9938,8963,9667,3730,5469
485,4380,9032,4736,125,768,1880,7649,8448,591
